book,chapter,names
1,19,Cotillion
1,19,Maybe
1,19,Ammanas
1,19,Coll
1,19,Ganoes Stabro Paran
1,19,Brid
1,19,Gedderone
1,19,Laseen
1,19,Rallick Nom
1,19,Ocelot
1,19,Vildron
1,19,Baruk
1,19,Rall
1,19,Murillio
1,19,Serrat
1,19,Crokus Younghand
1,19,Apsalar
1,19,Meese
1,19,Irilta
1,19,Scurve
1,19,Kruppe
1,19,Sulty
1,19,Mammot
1,19,Tattersail
1,19,Anomander Rake
1,19,Faint
1,19,Soliel
1,19,Mercy
1,19,Hood
1,19,Lorn
1,19,Hairlock
1,19,Tayschrenn
1,19,Malle
1,19,Dujek Onearm
1,19,Bellurdan
1,19,Knight
1,19,Toc the Younger
1,19,Onos T'oolan
1,19,Pannion Seer
1,2,Mother
1,2,Laseen
1,2,Ammanas
1,2,Hood
1,2,Rigga
1,2,Lender
1,2,Cotillion
1,2,Faint
1,2,Lorn
1,2,Birds
1,2,Ganoes Stabro Paran
1,2,Truth
1,2,Aparal Forge
1,2,Aragan
1,2,Dujek Onearm
1,2,Sorry
1,2,Crust
1,2,Topper
1,2,Alar
1,2,Ramp
1,2,Marble
1,2,Gamet
1,2,Tavore Paran
1,20,Maker
1,20,Temple
1,20,Apsalar
1,20,Meese
1,20,Irilta
1,20,Crokus Younghand
1,20,Mammot
1,20,Chert
1,20,Hood
1,20,Challice
1,20,D'Arle
1,20,Serrat
1,20,Murillio
1,20,Rallick Nom
1,20,Ocelot
1,20,Coll
1,20,Maybe
1,20,Turban Orr
1,20,Circle
1,20,Circle Breaker
1,20,Breaker
1,20,Sorry
1,20,Baruk
1,20,Rall
1,20,Kruppe
1,20,Mallet
1,20,Ganoes Stabro Paran
1,20,Whiskeyjack
1,20,Dujek Onearm
1,20,Caladan Brood
1,20,Tayschrenn
1,20,Kalam Mekhar
1,20,Laseen
1,20,Pannion Seer
1,20,Lorn
1,20,Onos T'oolan
1,20,Cotillion
1,20,K'rul
1,20,Blessed
1,20,Mowri
1,20,Grallin
1,20,Winter
1,20,Dawn
1,20,Gedderone
1,21,Heboric Light Touch
1,21,Baruk
1,21,Rallick Nom
1,21,Murillio
1,21,Dawn
1,21,Mammot
1,21,Icarium
1,21,Boar
1,21,Fener
1,21,Kruppe
1,21,Coll
1,21,Sulty
1,21,Circle
1,21,Circle Breaker
1,21,Breaker
1,21,Anomander Rake
1,21,Laseen
1,21,Alchemist
1,21,Mappo
1,21,Osseric
1,21,Caladan Brood
1,21,Crokus Younghand
1,21,Lorn
1,21,Whiskeyjack
1,21,Berrute
1,21,Hedge
1,21,Fiddler
1,21,Mallet
1,21,Malle
1,21,Knight
1,21,Death
1,21,Herald
1,21,Cotillion
1,21,Sorry
1,21,Hunt
1,21,Kalam Mekhar
1,21,Dessembrae
1,21,Brid
1,21,Ben Adaephon Delat
1,21,Ganoes Stabro Paran
1,21,Trotts
1,21,Apsalar
1,21,Meese
1,21,Irilta
1,21,Challice
1,21,D'Arle
1,21,Maybe
1,21,Serrat
1,21,Raest
1,21,Crone
1,21,Silanah
1,21,Dragnipurake
1,21,Howl
1,22,Anomandaris
1,22,Fisher
1,22,Sorry
1,22,Lorn
1,22,List
1,22,Laseen
1,22,Tayschrenn
1,22,Death
1,22,Sheltatha Lore
1,22,Kruppe
1,22,Meese
1,22,Irilta
1,22,Crokus Younghand
1,22,Circle
1,22,Circle Breaker
1,22,Turban Orr
1,22,Breaker
1,22,Murillio
1,22,Baruk
1,22,Alchemist
1,22,Apsalar
1,22,Challice
1,22,D'Arle
1,22,Hood
1,22,Whiskeyjack
1,22,Trotts
1,22,Stillis
1,22,Fiddler
1,22,Hedge
1,22,Mallet
1,22,Ben Adaephon Delat
1,22,Malle
1,22,Ganoes Stabro Paran
1,22,Kalam Mekhar
1,22,Coll
1,22,Scurve
1,22,Dujek Onearm
1,22,Anomander Rake
1,22,Mammot
1,22,Treach
1,22,Rallick Nom
1,22,Maybe
1,22,Rall
1,22,Estraysian
1,22,Estraysian D'Arle
1,22,Widow
1,22,Lady Simtal
1,22,Simtal
1,22,Held
1,22,Derudan
1,22,Mowri
1,22,Gorlas
1,22,T'riss
1,22,Dreams
1,23,Coll
1,23,Silanah
1,23,Raest
1,23,Kruppe
1,23,Onos T'oolan
1,23,Pran
1,23,Pran Chole
1,23,Kig Aven
1,23,Kron
1,23,Chole
1,23,Aven
1,23,Hood
1,23,Death
1,23,K'rul
1,23,Maker
1,23,Kalam Mekhar
1,23,Ganoes Stabro Paran
1,23,Sorry
1,23,Whiskeyjack
1,23,Mallet
1,23,Ben Adaephon Delat
1,23,Fiddler
1,23,Hedge
1,23,Rallick Nom
1,23,Baruk
1,23,Ocelot
1,23,Vorcan
1,23,Rall
1,23,Turban Orr
1,23,Crokus Younghand
1,23,Challice
1,23,Gorlas
1,23,Boil
1,23,Cotillion
1,23,Meese
1,23,Mammot
1,23,List
1,23,Aparal Forge
1,23,Chal
1,23,Apsalar
1,23,Best
1,23,Kala
1,23,Brid
1,23,Laseen
1,23,Anomander Rake
1,23,Alchemist
1,23,Bell
1,23,Blind
1,23,Fren
1,23,Derudan
1,23,Crone
1,23,Osseric
1,24,Felisin Paran
1,24,Ganoes Stabro Paran
1,24,Rood
1,24,Cotillion
1,24,Ammanas
1,24,Hood
1,24,Laseen
1,24,Mallet
1,24,Malle
1,24,Lorn
1,24,Crokus Younghand
1,24,Mammot
1,24,Rallick Nom
1,24,Baruk
1,24,Birds
1,24,Kruppe
1,24,Gran
1,24,Anomander Rake
1,24,Whiskeyjack
1,24,Tayschrenn
1,24,Dujek Onearm
1,24,Derudan
1,24,Tennes
1,24,Fener
1,24,Boar
1,24,Vorcan
1,24,Silanah
1,24,K'rul
1,24,Serrat
1,24,Kalam Mekhar
1,24,Fiddler
1,24,Hedge
1,24,Aparal Forge
1,24,Calm
1,24,Kala
1,24,Coll
1,24,Cowl
1,24,Blues
1,24,Fingers
1,24,Caladan Brood
1,24,Meese
1,24,Circle
1,24,Circle Breaker
1,24,Breaker
1,24,Hands
1,25,Adaephon
1,25,Hood
1,25,Crokus Younghand
1,25,Baruk
1,25,Fingers
1,25,Fill
1,25,Stone
1,25,Laseen
1,25,Caladan Brood
1,25,Dragnipurake
1,25,Anomander Rake
1,25,Relent
1,25,Mother
1,25,Travale
1,25,Derudan
1,25,Tennes
1,25,Vorcan
1,25,Stub
1,25,Mistress
1,25,Rallick Nom
1,25,Mammot
1,25,Ganoes Stabro Paran
1,25,Coll
1,25,Whiskeyjack
1,25,Kalam Mekhar
1,25,Lorn
1,25,Sorry
1,25,Apsalar
1,25,Mallet
1,25,Ben Adaephon Delat
1,25,Dujek Onearm
1,25,Tayschrenn
1,25,Jorrick
1,25,Kallor
1,25,Pannion Seer
1,25,Fiddler
1,25,Brid
1,25,Trotts
1,25,Hedge
1,25,Home
1,25,Hunt
1,25,Rall
1,25,Korlat
1,25,Serrat
1,25,Horult
1,25,Ammanas
1,25,Cotillion
1,25,Orfantal
1,25,Kruppe
1,25,Murillio
1,25,Gorlas
1,26,Fisher
1,26,Mallet
1,26,Whiskeyjack
1,26,Ben Adaephon Delat
1,26,Hedge
1,26,Ganoes Stabro Paran
1,26,Pannion Seer
1,26,Tattersail
1,26,Lorn
1,26,Kalam Mekhar
1,26,Apsalar
1,26,Crokus Younghand
1,26,Coll
1,26,Maybe
1,26,Fiddler
1,26,Circle
1,26,Circle Breaker
1,26,Breaker
1,3,Shattered
1,3,Felisin Paran
1,3,Laseen
1,3,Tattersail
1,3,Limbs
1,3,Hairlock
1,3,Maybe
1,3,Tayschrenn
1,3,Hood
1,3,Brid
1,3,Whiskeyjack
1,3,Ammanas
1,3,Dujek Onearm
1,3,Detoran
1,3,Antsy
1,3,Spindle
1,3,Ben Adaephon Delat
1,3,Fiddler
1,3,Hedge
1,3,Calot
1,3,Nedurian
1,3,Caladan Brood
1,3,Dully
1,3,Blind
1,3,Scant
1,3,Sandalath Drukorlat
1,3,Dessembrae
1,3,Anomandaris
1,3,Fisher
1,3,Anomander Rake
1,3,Mane
1,3,Bellurdan
1,3,Nightchill
1,3,Sorrow
1,3,Tahl
1,3,Death
1,3,Kalam Mekhar
1,3,Kala
1,3,Lost
1,3,Sorry
1,3,Faint
1,3,Mallet
1,3,Trotts
1,3,Bowl
1,3,Favo
1,3,Cotillion
1,3,Knight
1,4,Ganoes Stabro Paran
1,4,Topper
1,4,Hood
1,4,Lorn
1,4,Brid
1,4,Whiskeyjack
1,4,Laseen
1,4,Ammanas
1,4,Dujek Onearm
1,4,Maybe
1,4,Tattersail
1,4,Tayschrenn
1,4,Bellurdan
1,4,Nightchill
1,4,Hairlock
1,4,Ben Adaephon Delat
1,4,Kalam Mekhar
1,4,Caladan Brood
1,4,Sorry
1,4,Kala
1,4,Fiddler
1,4,Tahl
1,4,Death
1,4,Faint
1,4,Cotillion
1,4,Crow
1,4,Dessembrae
1,4,Toc the Younger
1,4,Antsy
1,4,Hedge
1,4,Picker
1,4,Mallet
1,4,Trotts
1,4,Malle
1,4,Cough
1,5,Brid
1,5,Toc the Younger
1,5,Tattersail
1,5,Whiskeyjack
1,5,Ben Adaephon Delat
1,5,Kalam Mekhar
1,5,Fiddler
1,5,Hairlock
1,5,Tayschrenn
1,5,Laseen
1,5,Anger
1,5,Nightchill
1,5,Dujek Onearm
1,5,Ammanas
1,5,Sorry
1,5,Death
1,5,Lorn
1,5,Cotillion
1,5,Kala
1,5,Hood
1,5,Dessembrae
1,5,Ganoes Stabro Paran
1,5,Twist
1,5,Maybe
1,5,of High House Shadow
1,5,Voice
1,5,Picker
1,5,Antsy
1,5,Hedge
1,5,Mallet
1,5,Soliel
1,5,Dawn
1,5,Aparal Forge
1,5,Mason
1,5,Brother
1,5,Knight
1,5,Faint
1,5,Healing
1,5,Trotts
1,5,Recruit
1,5,Best
1,5,Gear
1,5,Mist
1,5,Fisher
1,6,Fisher
1,6,Shan
1,6,Kruppe
1,6,D'Arle
1,6,Crokus Younghand
1,6,K'rul
1,6,Aven
1,6,Temple
1,6,Talo Krafar
1,6,Vorcan
1,6,T'riss
1,6,Dreams
1,6,Mammot
1,6,Talo Krafar 
1,6,Mowri
1,6,Sulty
1,7,Crone
1,7,Ramp
1,7,Yedan Derryg
1,7,Warleader Gall
1,7,Turban Orr
1,7,Circle
1,7,Circle Breaker
1,7,Breaker
1,7,Alchemist
1,7,Baruk
1,7,Feder
1,7,Rallick Nom
1,7,Councilman Lim
1,7,Rall
1,7,Dawn
1,7,Lean
1,7,Faint
1,7,Osseric
1,7,Ocelot
1,7,Talo Krafar
1,7,Talo Krafar 
1,7,Vorcan
1,7,Bait
1,7,Anomander Rake
1,7,Caladan Brood
1,7,Laseen
1,7,Tayschrenn
1,7,Kruppe
1,7,Murillio
1,7,Crokus Younghand
1,7,Younghand
1,7,Coll
1,7,Sulty
1,7,Mammot
1,8,Crokus Younghand
1,8,Kruppe
1,8,K'rul
1,8,Circle
1,8,Circle Breaker
1,8,Breaker
1,8,Tahl
1,8,Spite
1,8,Councilman Lim
1,8,Turban Orr
1,8,Pannion Seer
1,8,Murillio
1,8,Vorcan
1,8,Laseen
1,8,Maybe
1,8,Winter
1,8,Gedderone
1,8,Rallick Nom
1,8,Best
1,8,Lady Orr
1,8,Ocelot
1,8,Rall
1,8,D'Arle
1,8,Osseric
1,8,Beru
1,8,List
1,8,Warleader Gall
1,8,Tiny
1,8,Seguleh
1,8,Boar
1,8,D'rek
1,8,Dessembrae
1,8,Favo
1,8,Hinter
1,8,Malle
1,8,Krute
1,8,Krute of Talient
1,8,Talient
1,8,Hood
1,8,Mammot
1,8,Baruk
1,8,Caladan Brood
1,8,Faint
1,8,Coll
1,8,Yedan Derryg
1,8,Grave
1,8,Bule
1,9,Ammanas
1,9,Dessembrae
1,9,Whiskeyjack
1,9,Kalam Mekhar
1,9,Fiddler
1,9,Hedge
1,9,Bird
1,9,Steals
1,9,Brid
1,9,Ben Adaephon Delat
1,9,Laseen
1,9,Sorry
1,9,Mallet
1,9,Hairlock
1,9,Tattersail
1,9,Gear
1,9,Tayschrenn
1,9,Hood
1,9,Ganoes Stabro Paran
1,9,Trotts
10,1,Fisher
10,1,Fisher kel Tath
10,1,Tath
10,1,Cotillion
10,1,Edgewalker
10,1,Chained
10,1,Crippled God
10,1,Chains
10,1,Calm
10,1,Aparal Forge
10,1,Osseric
10,1,Kadagar Fant
10,1,Mane
10,1,Iparth
10,1,Iparth Erule
10,1,Uhandahl
10,1,Erule
10,1,Kessobahn
10,1,Death
10,1,Edge
10,1,Eloth
10,1,Kalse
10,1,Ampelas
10,1,Freedom
10,1,List
10,1,Bugg
10,1,Tiny
10,1,Faint
10,1,K'rul
10,1,Onos T'oolan
10,1,Olar
10,1,Olar Ethil
10,1,Ethil
10,1,Fingers
10,1,Blind
10,1,Blind Warleader Gallan
10,1,Errant
10,1,Brys Beddict
10,1,Tavore Paran
10,1,Ganoes Stabro Paran
10,1,Dessembrae
10,1,Brid
10,1,Udinaas
10,1,Ulshun
10,1,Ulshun Pral
10,1,Pral
10,1,Yedan Derryg
10,1,Silchas Ruin
10,1,Dreams
10,1,Onrack T'emlava
10,1,Kilava
10,1,Kilava 
10,1,Kilava Onass
10,1,Onass
10,1,Rud Ellale
10,1,Shurq Elalle
10,1,Menandore
10,1,Hull Beddict
10,1,Beddict
10,1,Coll
10,1,Best
10,1,Icarium
10,1,Elan
10,1,Noto
10,1,Noto Boil
10,1,Boil
10,1,Bude
10,1,Sweetcreek
10,1,Laseen
10,1,Taun
10,1,Tayschrenn
10,1,Dujek Onearm
10,1,Rythe
10,1,Rythe Bude
10,1,Mathok
10,1,Belie
10,1,Karsa Orlong
10,1,Hood
10,1,Silanah
10,1,Sorry
10,1,Mother
10,1,Sandalath Drukorlat
10,1,Apsal'ara
10,1,Nimander
10,1,Skintick
10,1,Desra
10,1,Korlat
10,1,Spinnock
10,1,Clip
10,1,Mistress
10,1,Ammanas
10,10,Crokus Younghand
10,10,Aranict
10,10,Prince
10,10,Brys Beddict
10,10,Stone
10,10,Beddict
10,10,Tavore Paran
10,10,Ganoes Stabro Paran
10,10,Fill
10,10,Malle
10,10,Tehol Beddict
10,10,Bugg
10,10,Rall
10,10,Gesler
10,10,Stormy
10,10,Henar
10,10,Henar Vygulf
10,10,Vygulf
10,10,Hull Beddict
10,10,Kuru Qan
10,10,Rhulad Sengar
10,10,Grasp
10,10,Errant
10,10,Hood
10,10,Bellig
10,10,Grub
10,10,Abrastal
10,10,Kalyth
10,10,Gunth Mach
10,10,Mach
10,10,Sinn
10,10,Dessembrae
10,10,Laseen
10,10,Urko Crust
10,10,Krughava
10,10,Duiker
10,10,Brother
10,10,Tanakalian
10,10,Erekala
10,10,Run'Thurvian
10,10,Wolves
10,10,Wolves of Winter
10,10,Winter
10,10,Voice
10,10,Mother
10,10,Spax
10,10,Warchief
10,10,Buri
10,11,Went
10,11,Crow
10,11,Fisher
10,11,Fisher kel Tath
10,11,Tath
10,11,Spindle
10,11,Itkovian
10,11,Brid
10,11,Banaschar
10,11,Blistig
10,11,Hood
10,11,D'rek
10,11,Autumn
10,11,Worm
10,11,Faradan
10,11,Faradan Sort
10,11,Shard
10,11,Pores
10,11,Tavore Paran
10,11,Ganoes Stabro Paran
10,11,Himble
10,11,Himble Thrup
10,11,Thrup
10,11,Maybe
10,11,Kindly
10,11,Lostara
10,11,Lostara Yil
10,11,Ruthan Gudd
10,11,Crippled God
10,11,Dessembrae
10,11,Blessed
10,11,Truth
10,11,Jade
10,11,List
10,11,Sorry
10,11,Stub
10,11,Skanarow
10,11,Cuttle
10,11,Koryk
10,11,Smiles
10,11,Tarr
10,11,Shortnose
10,11,Corabb Bhilan Thenu'alas
10,11,Bottle
10,11,Drin
10,11,Fiddler
10,11,Flashwit
10,11,Masan
10,11,Masan Gilani
10,11,Gilani
10,11,Balm
10,11,Throatslitter
10,11,Deadsmell
10,11,Widdershins
10,11,Blind
10,11,Ben Adaephon Delat
10,11,Dead Hedge
10,11,Hedge
10,11,Coll
10,11,Aparal Forge
10,11,Keneb
10,11,Gesler
10,11,Stormy
10,11,Sinn
10,11,Grub
10,11,Sinter
10,11,Badan Gruk
10,11,Little
10,11,Kisswhere
10,11,Limp
10,11,Flowers
10,11,Bursting
10,11,Ruffle
10,11,Hellian
10,11,Jamber Bole
10,11,Fast
10,11,Lucky
10,11,Touch
10,11,Tiny
10,11,Balgrid
10,11,Brethless
10,11,Best
10,11,Touchy
10,11,Urb
10,11,Clasp
10,11,Saltlick
10,11,Cord
10,11,Mayfly
10,11,Burnt
10,11,Burnt Cotillion
10,11,Cotillion
10,11,Lap Twirl
10,11,Twirl
10,11,Yedan Derryg
10,11,Prince
10,11,Skulldeath
10,11,Trench
10,11,Drawfirst
10,11,Rib
10,11,Bavedict
10,11,Dujek Onearm
10,11,Whiskeyjack
10,11,Kalam Mekhar
10,11,Tayschrenn
10,11,Alchemist
10,11,Death
10,11,Jastara
10,11,Hanavat
10,11,Warleader Gall
10,11,Widow
10,11,Widow Jastara
10,11,Shelemasa
10,11,Mother
10,11,Henar
10,11,Henar Vygulf
10,11,Vygulf
10,11,Fill
10,11,Brys Beddict
10,11,Beddict
10,11,Aranict
10,11,Temple
10,11,Laseen
10,11,Lorn
10,12,Crow
10,12,Harat
10,12,Torn
10,12,Yedan Derryg
10,12,Brevity
10,12,Derryg
10,12,Withal
10,12,Pithy
10,12,Cough
10,12,Skwish
10,12,Pully
10,12,Nithe
10,12,Errant
10,12,List
10,12,Went
10,12,Hands
10,12,Prince
10,12,Bedac
10,12,Coll
10,12,Yan Tovis
10,12,Tovis
10,12,Tugg
10,12,Aras
10,12,Drukorlat
10,12,Aparal Forge
10,12,Iparth
10,12,Iparth Erule
10,12,Osseric
10,12,Erule
10,12,Kadagar Fant
10,12,Mane
10,12,Brother
10,12,Sorry
10,12,Kessobahn
10,12,Shattered
10,12,Gaelar
10,12,Gaelar Throe
10,12,Throe
10,12, Dark
10,12,Sandalath Drukorlat
10,12,Hunt
10,12,Stone
10,12,Swirl
10,12,Lock
10,12,Mother
10,12,Anomander Rake
10,12,Blind Warleader Gallan
10,12,Blind
10,12,Silchas Ruin
10,12,Gran
10,12,Kellaras
10,12,Aven
10,12,Hust
10,12,Maybe
10,12,Soft
10,12,Sharl
10,12,Edge
10,13,Fisher
10,13,Fisher kel Tath
10,13,Tath
10,13,Aranict
10,13,Brys Beddict
10,13,Tanakalian
10,13,Krughava
10,13,Abrastal
10,13,Tavore Paran
10,13,Gesler
10,13,Ganoes Stabro Paran
10,13,Malle
10,13,Stormy
10,13,Kalyth
10,13,Lath
10,13,Beddict
10,13,Faint
10,13,Thek
10,13,Sweetest
10,13,Sweetest Sufferance
10,13,Sufferance
10,13,Precious Thimble
10,13,Hood
10,13,Amby Bole
10,13,Bole
10,13,Sorry
10,13,Quell
10,13,Giant
10,13,List
10,13,Drin
10,13,Maybe
10,13,Errant
10,13,Spax
10,13,Best
10,13,Spultatha
10,13,Warchief
10,13,Felash
10,13,Fourteen
10,13,Wither
10,13,Mother
10,13,Shurq Elalle
10,13,Draconus
10,13,Prince
10,13,Death
10,13,Wolves
10,13,Run'Thurvian
10,13,Lamb
10,13,K'ell
10,13,Hunter
10,13,Bent
10,13,Hunt
10,13,Truth
10,13,Coltaine
10,13,Bult
10,13,Lull
10,13,Duiker
10,13,Roach
10,13,Elan
10,13,Grub
10,13,Sinn
10,13,Gunth Mach
10,13,Mach
10,13,Gu'Rull
10,13,Jade
10,13,Matron
10,13,Ammanas
10,14,Anomandaris
10,14,Fisher
10,14,Fisher kel Tath
10,14,Tath
10,14,Badalle
10,14,Shard
10,14,Rutt
10,14,Held
10,14,Saddic
10,14,Drin
10,14,Squint
10,14,Fill
10,14,Kettle
10,14,Kilava
10,14,Olar
10,14,Olar Ethil
10,14,Maybe
10,14,Onrack T'emlava
10,14,Ethil
10,14,Udinaas
10,14,Ulshun
